profile,profile_fingerprint,query_id,family_id,hard_gate_passed,recall_at_8,precision_at_8,returned_precision_at_8,mrr_at_8,ndcg_at_8,all_required_recalled_at_8,strict_lexical_only_recall_at_8,dangerous_hit_at_8,no_answer_false_positive,hotness_pair_accuracy
gate-off,6c03994d589d0b31,personal_dietary_update_zh,personal_dietary_update,True,1.0,0.25,0.25,0.3333333333333333,0.6133937950944426,True,,False,,
gate-off,6c03994d589d0b31,project_identifier_lexical_mixed,project_identifier_lexical,True,1.0,0.125,0.16666666666666666,0.25,0.6010163832324855,True,1.0,False,,
gate-off,6c03994d589d0b31,personal_reply_language_zh,personal_reply_language,True,1.0,0.25,0.25,0.5,0.5766666455144387,True,,False,,
gate-off,6c03994d589d0b31,project_storage_adr_en,project_storage_adr,True,1.0,0.125,0.125,0.25,0.4555784564893121,True,,False,,
gate-off,6c03994d589d0b31,stress_unknown_city_abstention_zh,stress_unknown_city_abstention,True,,,,,,,,False,True,
gate-off,6c03994d589d0b31,personal_appointment_time_zh,personal_appointment_time,True,1.0,0.125,0.125,1.0,0.9639988080961093,True,,False,,
gate-off,6c03994d589d0b31,project_current_release_version_mixed,project_current_release_version,True,1.0,0.25,0.25,1.0,0.8445575335909078,True,,False,,
gate-off,6c03994d589d0b31,stress_cross_user_region_zh,stress_cross_user_region,True,1.0,0.125,0.125,1.0,0.9680147827042069,True,,False,,
gate-off,6c03994d589d0b31,personal_hotness_contact_zh,personal_hotness_contact,True,1.0,0.25,0.25,1.0,1.0,True,,False,,1.0
gate-off,6c03994d589d0b31,project_multi_evidence_release_mixed,project_multi_evidence_release,True,1.0,0.25,0.5,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,personal_medicine_instruction_zh,personal_medicine_instruction,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,personal_airport_pickup_mixed,personal_airport_pickup,True,0.0,0.0,0.0,0.0,0.08268058728704288,False,0.0,False,,
gate-off,6c03994d589d0b31,personal_gift_preferences_zh,personal_gift_preferences,True,1.0,0.125,0.125,1.0,0.938506417451168,True,,False,,
gate-off,6c03994d589d0b31,personal_unknown_emergency_contact_zh,personal_unknown_emergency_contact,True,,,,,,,,False,True,
gate-off,6c03994d589d0b31,personal_two_character_cjk_zh,personal_two_character_cjk,True,1.0,0.125,0.125,1.0,1.0,True,1.0,False,,
gate-off,6c03994d589d0b31,project_api_contract_update_mixed,project_api_contract_update,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,project_incident_root_cause_en,project_incident_root_cause,True,1.0,0.25,0.25,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,project_deploy_rollback_mixed,project_deploy_rollback,True,1.0,0.25,0.6666666666666666,1.0,0.8721386364821466,True,,False,,
gate-off,6c03994d589d0b31,project_test_ownership_en,project_test_ownership,True,1.0,0.25,0.25,1.0,0.9508013338940989,True,,False,,
gate-off,6c03994d589d0b31,stress_same_term_different_meaning_mixed,stress_same_term_different_meaning,True,1.0,0.125,0.125,1.0,0.9047190678134756,True,,False,,
gate-off,6c03994d589d0b31,personal_coffee_update_zh,personal_coffee_update,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,personal_train_seat_mixed,personal_train_seat,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,personal_weekly_class_zh,personal_weekly_class,True,1.0,0.125,0.125,0.5,0.7137389275421615,True,,False,,
gate-off,6c03994d589d0b31,personal_allergy_restaurant_en,personal_allergy_restaurant,True,1.0,0.125,0.125,1.0,0.9138778446351128,True,,False,,
gate-off,6c03994d589d0b31,personal_unknown_parking_zh,personal_unknown_parking,True,,,,,,,,False,True,
gate-off,6c03994d589d0b31,personal_shared_shopping_zh,personal_shared_shopping,True,1.0,0.25,0.25,1.0,0.98994907597403,True,,False,,
gate-off,6c03994d589d0b31,project_migration_decision_mixed,project_migration_decision,True,1.0,0.125,0.125,1.0,0.9639988080961093,True,,False,,
gate-off,6c03994d589d0b31,project_test_command_en,project_test_command,True,1.0,0.125,0.125,1.0,0.8862616963116376,True,,False,,
gate-off,6c03994d589d0b31,project_feature_owner_zh,project_feature_owner,True,1.0,0.125,0.125,1.0,0.9546966135663884,True,,False,,
gate-off,6c03994d589d0b31,stress_scope_channel_zh,stress_scope_channel,True,1.0,0.125,0.14285714285714285,1.0,0.983204925844768,True,,False,,
gate-off,6c03994d589d0b31,personal_home_temperature_zh,personal_home_temperature,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,personal_passport_expiry_mixed,personal_passport_expiry,True,1.0,0.125,0.125,1.0,0.9680147827042069,True,,False,,
gate-off,6c03994d589d0b31,personal_bookmark_article_en,personal_bookmark_article,True,1.0,0.125,0.125,1.0,0.9856971079415731,True,,False,,
gate-off,6c03994d589d0b31,personal_family_birthday_zh,personal_family_birthday,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,personal_delivery_address_update_zh,personal_delivery_address_update,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,personal_unknown_wifi_mixed,personal_unknown_wifi,True,,,,,,,,False,True,
gate-off,6c03994d589d0b31,project_env_variable_mixed,project_env_variable,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,project_release_date_zh,project_release_date,True,1.0,0.25,0.25,1.0,1.0,True,,False,,
gate-off,6c03994d589d0b31,project_error_policy_en,project_error_policy,True,1.0,0.125,0.125,1.0,0.938506417451168,True,,False,,
gate-off,6c03994d589d0b31,project_unknown_pr_zh,project_unknown_pr,True,,,,,,,,False,True,
gate-off,6c03994d589d0b31,stress_forgotten_secret_zh,stress_forgotten_secret,True,,,,,,,,False,True,
gate-off,6c03994d589d0b31,stress_time_boundary_zh,stress_time_boundary,True,1.0,0.125,0.125,1.0,0.9916779671252834,True,,False,,
gate-f045-c070,937fabbb2b68d964,personal_dietary_update_zh,personal_dietary_update,True,1.0,0.25,0.2857142857142857,0.3333333333333333,0.6133937950944426,True,,False,,
gate-f045-c070,937fabbb2b68d964,project_identifier_lexical_mixed,project_identifier_lexical,True,1.0,0.125,0.16666666666666666,0.25,0.6010163832324855,True,1.0,False,,
